Link 13 Volume (ft3)	
1.677083	0
1.6875	0
1.697917	0
1.708333	0
1.71875	0
1.729167	0
1.739583	0
1.75	0
1.760417	0
1.770833	0
1.78125	0
1.791667	0
1.802083	0
1.8125	0
1.822917	0
1.833333	0
1.84375	0
1.854167	0
1.864583	0
1.875	0
1.885417	0
1.895833	0
1.90625	0
1.916667	0
1.927083	0
1.9375	0
1.947917	0
1.958333	0
1.96875	0
1.979167	0
1.989583	0
2	0
2.010417	0
2.020833	0
2.03125	0
2.041667	0
2.052083	0
2.0625	0
2.072917	0
2.083333	0
2.09375	0
2.104167	0
2.114583	0
2.125	0
2.135417	0
2.145833	0
2.15625	0
2.166667	0
2.177083	0
2.1875	0
2.197917	0
2.208333	0
2.21875	0
2.229167	0
2.239583	0
2.25	0
2.260417	0
2.270833	0
2.28125	0
2.291667	0
2.302083	0
2.3125	0
2.322917	0
2.333333	0
2.34375	0
2.354167	0
2.364583	0
2.375	0
2.385417	0
2.395833	0
2.40625	0
2.416667	0
2.427083	0
2.4375	0
2.447917	0
2.458333	0
2.46875	0
2.479167	0
2.489583	0
2.5	0
2.510417	0
2.520833	0
2.53125	0
2.541667	0
2.552083	0
2.5625	0
2.572917	0
2.583333	0
2.59375	0
2.604167	0
2.614583	0
2.625	0
2.635417	0
2.645833	0
2.65625	0
2.666667	0
2.677083	0
2.6875	0
2.697917	0
2.708333	0
2.71875	0
2.729167	0
2.739583	0
2.75	0
2.760417	0
2.770833	0
2.78125	0
2.791667	0
2.802083	0
2.8125	0
2.822917	0
2.833333	0
2.84375	0
2.854167	0
2.864583	0
2.875	0
2.885417	0
2.895833	0
2.90625	0
2.916667	0
2.927083	0
2.9375	0
2.947917	0
2.958333	0
2.96875	0
2.979167	0
2.989583	0
3	0
3.010417	0
3.020833	0
3.03125	0
3.041667	0
3.052083	0
3.0625	0
3.072917	0
3.083333	0
3.09375	0
3.104167	0
3.114583	0
3.125	0
3.135417	0
3.145833	0
3.15625	0
3.166667	0
3.177083	0
3.1875	0
3.197917	0
3.208333	0
3.21875	0
3.229167	0
3.239583	0
3.25	0
3.260417	0
3.270833	0
3.28125	0
3.291667	0
3.302083	0
3.3125	0
3.322917	0
3.333333	0
3.34375	0
3.354167	0
3.364583	0
3.375	0
3.385417	0
3.395833	0
3.40625	0
3.416667	0
3.427083	0
3.4375	0
3.447917	0
3.458333	0
3.46875	0
3.479167	0
3.489583	0
3.5	0
3.510417	0
3.520833	0
3.53125	0
3.541667	0
3.552083	0
3.5625	0
3.572917	0
3.583333	0
3.59375	0
3.604167	0
3.614583	0
3.625	0
3.635417	0
3.645833	0
3.65625	0
3.666667	0
3.677083	0
3.6875	0
3.697917	0
3.708333	0
3.71875	0
3.729167	0
3.739583	0
3.75	0
3.760417	0
3.770833	0
3.78125	0
3.791667	0
3.802083	0
3.8125	0
3.822917	0
3.833333	0
3.84375	0
3.854167	0
3.864583	0
3.875	0
3.885417	0
3.895833	0
3.90625	0
3.916667	0
3.927083	0
3.9375	0
3.947917	0
3.958333	0
3.96875	0
3.979167	0
3.989583	0
4	0
4.010417	4826.4312
4.020833	9868.7363
4.03125	15103.6533
4.041667	20510.1836
4.052083	26081.4668
4.0625	31806.9395
4.072917	37677.7969
4.083333	43686.2969
4.09375	50195.2148
4.104167	57645.5078
4.114583	66072.25
4.125	75480.8125
4.135417	85849.6719
4.145833	97153.3047
4.15625	109389.4922
4.166667	122599.7031
4.177083	136880.1719
4.1875	152377.75
4.197917	169272.9844
4.208333	187757
4.21875	208008.3125
4.229167	230173.625
4.239583	254354.25
4.25	280598.5
4.260417	308899.5313
4.270833	339197.9688
4.28125	371388.1875
4.291667	405327.4063
4.302083	440845.8125
4.3125	477757.4375
4.322917	515870.1875
4.333333	554994.1875
4.34375	594949.25
4.354167	635569.4375
4.364583	676706.8125
4.375	718232.6875
4.385417	760038.0625
4.395833	802032.875
4.40625	844144.625
4.416667	886316.375
4.427083	928504.8125
4.4375	970678.125
4.447917	1012813.75
4.458333	1054896.75
4.46875	1096918.25
4.479167	1138873.625
4.489583	1180761.75
4.5	1222583.625
4.510417	1264342
4.520833	1306040.5
4.53125	1347683.125
4.541667	1389274.375
4.552083	1430818.125
4.5625	1472318.375
4.572917	1513778.625
4.583333	1555201.75
4.59375	1596590.375
4.604167	1637946.625
4.614583	1679272.125
4.625	1720567.875
4.635417	1761834.625
4.645833	1803072.75
4.65625	1844282.25
4.666667	1885462.875
4.677083	1926614
4.6875	1967734.875
4.697917	2008824.375
4.708333	2049881.375
4.71875	2090904.375
4.729167	2131892.25
4.739583	2172843
4.75	2213755
4.760417	2254626.75
4.770833	2295456.25
4.78125	2336241.75
4.791667	2376981.25
4.802083	2417672.5
4.8125	2458314
4.822917	2498903.75
4.833333	2539439.5
4.84375	2579919.5
4.854167	2620341.5
4.864583	2660703.75
4.875	2701004.25
4.885417	2741241
4.895833	2781412
4.90625	2821515.5
4.916667	2861549.25
4.927083	2901511.75
4.9375	2941400.75
4.947917	2981214.75
4.958333	3020951.75
4.96875	3060610
4.979167	3100187.75
4.989583	3139683.25
5	3179094.75
5.010417	3217218.25
5.020833	3254235
5.03125	3289985.25
5.041667	3324188.75
5.052083	3356685
5.0625	3387464.5
5.072917	3416631.75
5.083333	3444360
5.09375	3470850.5
5.104167	3496304.25
5.114583	3520906.75
5.125	3544819.25
5.135417	3568177.5
5.145833	3591091.75
5.15625	3613649.75
5.166667	3635920.5
5.177083	3657957
5.1875	3679800.5
5.197917	3701481
5.208333	3723022.25
5.21875	3744441
5.229167	3765750.25
5.239583	3786959.25
5.25	3808075
5.260417	3829102.25
5.270833	3850045
5.28125	3870905.5
5.291667	3891685.75
5.302083	3912387
5.3125	3933010.25
5.322917	3953556.25
5.333333	3974025.25
5.34375	3994417.5
5.354167	4014733.25
5.364583	4034972.75
5.375	4055135.75
5.385417	4075222.25
5.395833	4095232.5
5.40625	4115166.25
5.416667	4135023.75
5.427083	4154804.5
5.4375	4174508.75
5.447917	4194136.5
5.458333	4213687.5
5.46875	4233162
5.479167	4252559.5
5.489583	4271880
5.5	4291124
5.510417	4310291
5.520833	4329381
5.53125	4348394.5
5.541667	4367330.5
5.552083	4386190
5.5625	4404972.5
5.572917	4423677.5
5.583333	4442306
5.59375	4460857.5
5.604167	4479332.5
5.614583	4497730
5.625	4516050.5
5.635417	4534294.5
5.645833	4552461.5
5.65625	4570552
5.666667	4588565.5
5.677083	4606502.5
5.6875	4624362.5
5.697917	4642146
5.708333	4659853
5.71875	4677483
5.729167	4695037
5.739583	4712514.5
5.75	4729916
5.760417	4747241
5.770833	4764490
5.78125	4781663
5.791667	4798759.5
5.802083	4815780.5
5.8125	4832726
5.822917	4849595.5
5.833333	4866389
5.84375	4883107.5
5.854167	4899750.5
5.864583	4916318.5
5.875	4932811
5.885417	4949228.5
5.895833	4965571
5.90625	4981839
5.916667	4998032
5.927083	5014150.5
5.9375	5030195
5.947917	5046164.5
5.958333	5062060.5
5.96875	5077882
5.979167	5093630
5.989583	5109304.5
6	5124905
6.010417	5138145
6.020833	5149196
6.03125	5157566.5
6.041667	5162698
6.052083	5164438
6.0625	5162996
6.072917	5158788
6.083333	5152304.5
6.09375	5144025
6.104167	5134374
6.114583	5123702.5
6.125	5112291.5
6.135417	5100357
6.145833	5088063
6.15625	5075530.5
6.166667	5062848
6.177083	5050080.5
6.1875	5037274
6.197917	5024461.5
6.208333	5011665.5
6.21875	4998903.5
6.229167	4986186
6.239583	4973521
6.25	4960914
6.260417	4948368.5
6.270833	4935887.5
6.28125	4923472
6.291667	4911122.5
6.302083	4898840.5
6.3125	4886625.5
6.322917	4874478
6.333333	4862397
6.34375	4850383.5
6.354167	4838436
6.364583	4826555
6.375	4814739.5
6.385417	4802989.5
6.395833	4791304.5
6.40625	4779684
6.416667	4768127.5
6.427083	4756635
6.4375	4745205
6.447917	4733838.5
6.458333	4722534
6.46875	4711291.5
6.479167	4700110.5
6.489583	4688991
6.5	4677931.5
6.510417	4666933
6.520833	4655993.5
6.53125	4645114
6.541667	4634293.5
6.552083	4623531.5
6.5625	4612827.5
6.572917	4602182
6.583333	4591593
6.59375	4581062
6.604167	4570587
6.614583	4560168.5
6.625	4549806
6.635417	4539499
6.645833	4529247
6.65625	4519049.5
6.666667	4508907
6.677083	4498818
6.6875	4488783
6.697917	4478801.5
6.708333	4468872.5
6.71875	4458996.5
6.729167	4449173
6.739583	4439401
6.75	4429680.5
6.760417	4420011.5
6.770833	4410393.5
6.78125	4400826
6.791667	4391308.5
6.802083	4381841
6.8125	4372423
6.822917	4363054.5
6.833333	4353735
6.84375	4344464
6.854167	4335241
6.864583	4326066.5
6.875	4316939.5
6.885417	4307859.5
6.895833	4298827
6.90625	4289841
6.916667	4280901.5
6.927083	4272008.5
6.9375	4263161
6.947917	4254359
6.958333	4245602.5
6.96875	4236891
6.979167	4228224
6.989583	4219601.5
7	4211023.5
7.010417	4205345
7.020833	4202201
7.03125	4202131
7.041667	4205842
7.052083	4213627
7.0625	4225365.5
7.072917	4240665.5
7.083333	4259005
7.09375	4279834
7.104167	4302637.5
7.114583	4326964.5
7.125	4352440
7.135417	4378759.5
7.145833	4405685
7.15625	4433032
7.166667	4460661
7.177083	4488465.5
7.1875	4516368.5
7.197917	4544312
7.208333	4572254
7.21875	4600163.5
7.229167	4628018
7.239583	4655801.5
7.25	4683502.5
7.260417	4711112.5
7.270833	4738626
7.28125	4766037.5
7.291667	4793344.5
7.302083	4820544.5
7.3125	4847636.5
7.322917	4874618
7.333333	4901489.5
7.34375	4928249.5
7.354167	4954897.5
7.364583	4981433
7.375	5007856.5
7.385417	5034167
7.395833	5060364
7.40625	5086448.5
7.416667	5112419.5
7.427083	5138277
7.4375	5164021
7.447917	5189651.5
7.458333	5215168.5
7.46875	5240571.5
7.479167	5265861
7.489583	5291037
7.5	5316099
7.510417	5341047.5
7.520833	5365882
7.53125	5390603
7.541667	5415210
7.552083	5439703.5
7.5625	5464083.5
7.572917	5488350
7.583333	5512502.5
7.59375	5536542
7.604167	5560468
7.614583	5584281
7.625	5607980.5
7.635417	5631567
7.645833	5655040.5
7.65625	5678401
7.666667	5701649
7.677083	5724784
7.6875	5747806.5
7.697917	5770717
7.708333	5793515
7.71875	5816201
7.729167	5838775
7.739583	5861237
7.75	5883587.5
7.760417	5905827
7.770833	5927955
7.78125	5949971.5
7.791667	5971878
7.802083	5993673
7.8125	6015358
7.822917	6036933
7.833333	6058397.5
7.84375	6079752.5
7.854167	6100997.5
7.864583	6122133.5
7.875	6143160
7.885417	6164078
7.895833	6184887
7.90625	6205588
7.916667	6226180.5
7.927083	6246665
7.9375	6267042.5
7.947917	6287312
7.958333	6307474.5
7.96875	6327530.5
7.979167	6347479.5
7.989583	6367322.5
8	6387059.5
8.010417	6404201.5
8.020833	6418781.5
8.03125	6430127.5
8.041667	6437624.5
8.052083	6441213.5
8.0625	6441259
8.072917	6438334
8.083333	6433051.5
8.09375	6425975
8.104167	6417577
8.114583	6408231.5
8.125	6398224.5
8.135417	6387769.5
8.145833	6377019.5
8.15625	6366085.5
8.166667	6355045.5
8.177083	6343954.5
8.1875	6332849
8.197917	6321756.5
8.208333	6310693.5
8.21875	6299673
8.229167	6288702.5
8.239583	6277787.5
8.25	6266931.5
8.260417	6256137
8.270833	6245405
8.28125	6234736.5
8.291667	6224131.5
8.302083	6213591
8.3125	6203114
8.322917	6192700.5
8.333333	6182350.5
8.34375	6172063.5
8.354167	6161839
8.364583	6151676.5
8.375	6141576.5
8.385417	6131537.5
8.395833	6121559.5
8.40625	6111642
8.416667	6101784.5
8.427083	6091987
8.4375	6082249
8.447917	6072569.5
8.458333	6062949
8.46875	6053386
8.479167	6043881
8.489583	6034433
8.5	6025042
8.510417	6015707
8.520833	6006428.5
8.53125	5997205.5
8.541667	5988038
8.552083	5978925
8.5625	5969867
8.572917	5960863
8.583333	5951912.5
8.59375	5943015.5
8.604167	5934171
8.614583	5925379.5
8.625	5916640.5
8.635417	5907953.5
8.645833	5899317.5
8.65625	5890733
8.666667	5882199.5
8.677083	5873716
8.6875	5865283
8.697917	5856900
8.708333	5848566
8.71875	5840281.5
8.729167	5832045.5
8.739583	5823858
8.75	5815719
8.760417	5807627.5
8.770833	5799583.5
8.78125	5791586.5
8.791667	5783636.5
8.802083	5775733
8.8125	5767875.5
8.822917	5760064
8.833333	5752298.5
8.84375	5744578
8.854167	5736902
8.864583	5729271.5
8.875	5721684.5
8.885417	5714142.5
8.895833	5706643.5
8.90625	5699188.5
8.916667	5691776.5
8.927083	5684407.5
8.9375	5677081
8.947917	5669797
8.958333	5662555
8.96875	5655354.5
8.979167	5648196
8.989583	5641078.5
9	5634002
9.010417	5625429
9.020833	5615514
9.03125	5603896.5
9.041667	5590212.5
9.052083	5574393
9.0625	5556608
9.072917	5537157.5
9.083333	5516377.5
9.09375	5494586.5
9.104167	5472061
9.114583	5449025
9.125	5425653.5
9.135417	5402080.5
9.145833	5378404
9.15625	5354696
9.166667	5331009.5
9.177083	5307380.5
9.1875	5283835
9.197917	5260391.5
9.208333	5237061.5
9.21875	5213853.5
9.229167	5190773.5
9.239583	5167824.5
9.25	5145008.5
9.260417	5122327
9.270833	5099780
9.28125	5077367.5
9.291667	5055089
9.302083	5032944
9.3125	5010932
9.322917	4989052
9.333333	4967303
9.34375	4945684
9.354167	4924194
9.364583	4902832.5
9.375	4881598
9.385417	4860489.5
9.395833	4839506
9.40625	4818646.5
9.416667	4797910.5
9.427083	4777296
9.4375	4756803
9.447917	4736430
9.458333	4716176.5
9.46875	4696041
9.479167	4676023
9.489583	4656121
9.5	4636335
9.510417	4616663
9.520833	4597104.5
9.53125	4577659
9.541667	4558325.5
9.552083	4539102.5
9.5625	4519990
9.572917	4500986.5
9.583333	4482091.5
9.59375	4463304
9.604167	4444623
9.614583	4426047.5
9.625	4407577.5
9.635417	4389211.5
9.645833	4370949
9.65625	4352789
9.666667	4334731
9.677083	4316774
9.6875	4298917
9.697917	4281159.5
9.708333	4263501
9.71875	4245940.5
9.729167	4228477
9.739583	4211110
9.75	4193838.75
9.760417	4176662.5
9.770833	4159580.5
9.78125	4142592.25
9.791667	4125697
9.802083	4108893.75
9.8125	4092182
9.822917	4075561
9.833333	4059030.25
9.84375	4042589
9.854167	4026236.5
9.864583	4009972.25
9.875	3993795.5
9.885417	3977705.5
9.895833	3961701.75
9.90625	3945783.5
9.916667	3929950.25
9.927083	3914201.25
9.9375	3898536
9.947917	3882954
9.958333	3867454.25
9.96875	3852036.5
9.979167	3836700
9.989583	3821444.25
10	3806268.5
10.010417	3790941
10.020833	3775511.5
10.03125	3759941.25
10.041667	3744177.75
10.052083	3728197
10.0625	3712005.25
10.072917	3695629.25
10.083333	3679106
10.09375	3662474.75
10.104167	3645773.25
10.114583	3629034.5
10.125	3612286
10.135417	3595550.75
10.145833	3578846.25
10.15625	3562186.25
10.166667	3545581.5
10.177083	3529039.25
10.1875	3512565.5
10.197917	3496164.25
10.208333	3479838.5
10.21875	3463590.25
10.229167	3447421
10.239583	3431331.25
10.25	3415321.5
10.260417	3399392
10.270833	3383542.75
10.28125	3367773.5
10.291667	3352084
10.302083	3336473.75
10.3125	3320942.5
10.322917	3305489.75
10.333333	3290115
10.34375	3274817.75
10.354167	3259597.5
10.364583	3244453.75
10.375	3229385.75
10.385417	3214393.5
10.395833	3199476
10.40625	3184633
10.416667	3169863.75
10.427083	3155168
10.4375	3140545.25
10.447917	3125994.5
10.458333	3111516
10.46875	3097108.5
10.479167	3082772
10.489583	3068506
10.5	3054309.75
10.510417	3040182.75
10.520833	3026124.75
10.53125	3012135.25
10.541667	2998213.75
10.552083	2984359.75
10.5625	2970572.75
10.572917	2956852.5
10.583333	2943198.25
10.59375	2929609.75
10.604167	2916086.25
10.614583	2902627.75
10.625	2889233.5
10.635417	2875903.25
10.645833	2862636.5
10.65625	2849432.75
10.666667	2836291.75
10.677083	2823212.75
10.6875	2810195.75
10.697917	2797240
10.708333	2784345.25
10.71875	2771511
10.729167	2758737
10.739583	2746022.75
10.75	2733368
10.760417	2720772
10.770833	2708234.75
10.78125	2695755.75
10.791667	2683334.5
10.802083	2670970.5
10.8125	2658663.75
10.822917	2646413.75
10.833333	2634220
10.84375	2622082
10.854167	2610000
10.864583	2597973
10.875	2586000.75
10.885417	2574083.25
10.895833	2562219.75
10.90625	2550410
10.916667	2538653.75
10.927083	2526950.75
10.9375	2515300.5
10.947917	2503702.75
10.958333	2492157
10.96875	2480663
10.979167	2469220.5
10.989583	2457829.25
11	2446488.75
11.010417	2435230.75
11.020833	2424042
11.03125	2412924.5
11.041667	2401883.75
11.052083	2390922.25
11.0625	2380041.25
11.072917	2369238.75
11.083333	2358511.5
11.09375	2347856.25
11.104167	2337269
11.114583	2326745.5
11.125	2316282.5
11.135417	2305876.5
11.145833	2295525.5
11.15625	2285226.5
11.166667	2274977.75
11.177083	2264778
11.1875	2254625.5
11.197917	2244519.25
11.208333	2234458.25
11.21875	2224442
11.229167	2214469.75
11.239583	2204540.5
11.25	2194654.25
11.260417	2184810.5
11.270833	2175008.75
11.28125	2165248.5
11.291667	2155529.5
11.302083	2145851.75
11.3125	2136214.5
11.322917	2126617.75
11.333333	2117061.25
11.34375	2107544.5
11.354167	2098067.5
11.364583	2088629.875
11.375	2079231.5
11.385417	2069872
11.395833	2060551.125
11.40625	2051268.75
11.416667	2042024.625
11.427083	2032818.5
11.4375	2023650.125
11.447917	2014519.375
11.458333	2005426
11.46875	1996369.625
11.479167	1987350.25
11.489583	1978367.5
11.5	1969421.25
11.510417	1960511.25
11.520833	1951637.375
11.53125	1942799.25
11.541667	1933996.875
11.552083	1925229.875
11.5625	1916498.125
11.572917	1907801.375
11.583333	1899139.5
11.59375	1890512.375
11.604167	1881919.5
11.614583	1873361
11.625	1864836.5
11.635417	1856345.875
11.645833	1847888.875
11.65625	1839465.5
11.666667	1831075.25
11.677083	1822718.125
11.6875	1814394
11.697917	1806102.625
11.708333	1797843.75
11.71875	1789617.125
11.729167	1781422.875
11.739583	1773260.5
11.75	1765130.125
11.760417	1757031.25
11.770833	1748963.875
11.78125	1740927.875
11.791667	1732923
11.802083	1724949
11.8125	1717005.875
11.822917	1709093.375
11.833333	1701211.375
11.84375	1693359.625
11.854167	1685538
11.864583	1677746.375
11.875	1669984.5
11.885417	1662252.25
11.895833	1654549.5
11.90625	1646876.125
11.916667	1639231.75
11.927083	1631616.5
11.9375	1624030.125
11.947917	1616472.375
11.958333	1608943.25
11.96875	1601442.5
11.979167	1593969.875
11.989583	1586525.5
12	1579109
12.010417	1572745.5
12.020833	1567103.625
12.03125	1562246.25
12.041667	1558365.75
12.052083	1555627
12.0625	1554121.75
12.072917	1553867.625
12.083333	1554822
12.09375	1556901
12.104167	1559996.625
12.114583	1563989.75
12.125	1568760.25
12.135417	1574193.625
12.145833	1580184.375
12.15625	1586638.25
12.166667	1593472.875
12.177083	1600617.625
12.1875	1608012.5
12.197917	1615607.125
12.208333	1623360
12.21875	1631236.625
12.229167	1639209.125
12.239583	1647254.625
12.25	1655354.625
12.260417	1663494.625
12.270833	1671662.375
12.28125	1679848.625
12.291667	1688045.875
12.302083	1696247.875
12.3125	1704450.125
12.322917	1712648.625
12.333333	1720840.5
12.34375	1729023.375
12.354167	1737195.375
12.364583	1745355
12.375	1753501.125
12.385417	1761632.875
12.395833	1769749.375
12.40625	1777850.125
12.416667	1785934.625
12.427083	1794002.5
12.4375	1802053.375
12.447917	1810087.125
12.458333	1818103.5
12.46875	1826102.375
12.479167	1834083.375
12.489583	1842046.625
12.5	1849992
12.510417	1857919.25
12.520833	1865828.5
12.53125	1873719.5
12.541667	1881592.125
12.552083	1889446.625
12.5625	1897282.625
12.572917	1905100.25
12.583333	1912899.375
12.59375	1920679.875
12.604167	1928441.875
12.614583	1936185.25
12.625	1943910
12.635417	1951616
12.645833	1959303.25
12.65625	1966971.75
12.666667	1974621.375
12.677083	1982252.125
12.6875	1989864
12.697917	1997457
12.708333	2005031
12.71875	2012586
12.729167	2020121.875
12.739583	2027638.75
12.75	2035136.625
12.760417	2042615.375
12.770833	2050074.875
12.78125	2057515.25
12.791667	2064936.5
12.802083	2072338.5
12.8125	2079721.25
12.822917	2087084.75
12.833333	2094428.875
12.84375	2101753.75
12.854167	2109059.25
12.864583	2116345.5
12.875	2123612.5
12.885417	2130859.75
12.895833	2138087.75
12.90625	2145296.5
12.916667	2152485.75
12.927083	2159655.5
12.9375	2166805.75
12.947917	2173936.5
12.958333	2181047.75
12.96875	2188139.5
12.979167	2195211.75
12.989583	2202264.5
13	2209297.75
13.010417	2215595.25
13.020833	2221377.75
13.03125	2226583
13.041667	2231072.5
13.052083	2234747.25
13.0625	2237572.75
13.072917	2239570.5
13.083333	2240802.25
13.09375	2241351.75
13.104167	2241311.5
13.114583	2240774
13.125	2239825
13.135417	2238540.75
13.145833	2236987.5
13.15625	2235220.25
13.166667	2233285.5
13.177083	2231220.25
13.1875	2229055
13.197917	2226813.5
13.208333	2224514.75
13.21875	2222173.75
13.229167	2219802.25
13.239583	2217409.25
13.25	2215001.75
13.260417	2212585.25
13.270833	2210163.75
13.28125	2207740.75
13.291667	2205318.25
13.302083	2202898.5
13.3125	2200482.5
13.322917	2198071.75
13.333333	2195667
13.34375	2193268.5
13.354167	2190877.25
13.364583	2188493
13.375	2186116.5
13.385417	2183747.5
13.395833	2181386.5
13.40625	2179033.5
13.416667	2176688.5
13.427083	2174351.25
13.4375	2172022.25
13.447917	2169701.5
13.458333	2167388.5
13.46875	2165083.75
13.479167	2162787
13.489583	2160498.25
13.5	2158217.25
13.510417	2155944.5
13.520833	2153679.75
13.53125	2151422.75
13.541667	2149173.5
13.552083	2146932.25
13.5625	2144699
13.572917	2142473.25
13.583333	2140255.25
13.59375	2138045.25
13.604167	2135842.75
13.614583	2133648
13.625	2131460.75
13.635417	2129281.25
13.645833	2127109
13.65625	2124944.75
13.666667	2122787.75
13.677083	2120638.25
13.6875	2118496.25
13.697917	2116361.5
13.708333	2114234.25
13.71875	2112114.25
13.729167	2110001.75
13.739583	2107896.5
13.75	2105798.5
13.760417	2103707.75
13.770833	2101624.25
13.78125	2099547.75
13.791667	2097478.5
13.802083	2095416.375
13.8125	2093361.375
13.822917	2091313.375
13.833333	2089272.375
13.84375	2087238.375
13.854167	2085211.375
13.864583	2083191.375
13.875	2081178.25
13.885417	2079172
13.895833	2077172.625
13.90625	2075180.125
13.916667	2073194.375
13.927083	2071215.5
13.9375	2069243.25
13.947917	2067277.75
13.958333	2065319
13.96875	2063366.875
13.979167	2061421.5
13.989583	2059482.625
14	2057550.375
14.010417	2056630.5
14.020833	2056486.125
14.03125	2057206.375
14.041667	2059008.75
14.052083	2062058.25
14.0625	2066425.25
14.072917	2072093.25
14.083333	2078981.875
14.09375	2086972.375
14.104167	2095927.125
14.114583	2105705.5
14.125	2116173.25
14.135417	2127207.75
14.145833	2138701.25
14.15625	2150560.75
14.166667	2162708.5
14.177083	2175079.5
14.1875	2187621.25
14.197917	2200290.25
14.208333	2213052.75
14.21875	2225881
14.229167	2238753.25
14.239583	2251652.5
14.25	2264565.25
14.260417	2277481.25
14.270833	2290392.25
14.28125	2303291.5
14.291667	2316174.75
14.302083	2329037.75
14.3125	2341877.5
14.322917	2354692
14.333333	2367479.25
14.34375	2380237.75
14.354167	2392966.5
14.364583	2405665
14.375	2418332
14.385417	2430967.25
14.395833	2443570.25
14.40625	2456140.75
14.416667	2468678.25
14.427083	2481182.75
14.4375	2493653.75
14.447917	2506091.25
14.458333	2518495
14.46875	2530865
14.479167	2543201
14.489583	2555503
14.5	2567770.5
14.510417	2580004
14.520833	2592203
14.53125	2604367.25
14.541667	2616497
14.552083	2628592.25
14.5625	2640652.5
14.572917	2652678.25
14.583333	2664668.75
14.59375	2676624.25
14.604167	2688544.75
14.614583	2700430.25
14.625	2712280.5
14.635417	2724095.5
14.645833	2735875
14.65625	2747619.25
14.666667	2759328.25
14.677083	2771001.5
14.6875	2782639.25
14.697917	2794241.5
14.708333	2805808.25
14.71875	2817339
14.729167	2828834.25
14.739583	2840293.75
14.75	2851717.5
14.760417	2863105.25
14.770833	2874457.25
14.78125	2885773.25
14.791667	2897053.5
14.802083	2908297.5
14.8125	2919505.75
14.822917	2930678
14.833333	2941814
14.84375	2952914.25
14.854167	2963978.25
14.864583	2975006
14.875	2985997.75
14.885417	2996953.5
14.895833	3007873
14.90625	3018756.5
14.916667	3029603.75
14.927083	3040414.75
14.9375	3051189.75
14.947917	3061928.5
14.958333	3072631
14.96875	3083297.25
14.979167	3093927.5
14.989583	3104521.5
15	3115079.5
15.010417	3124385.75
15.020833	3132600
15.03125	3139541.5
15.041667	3144903.5
15.052083	3148513
15.0625	3150360
15.072917	3150559.25
15.083333	3149298.25
15.09375	3146793.75
15.104167	3143263
15.114583	3138906
15.125	3133897.5
15.135417	3128384
15.145833	3122485.75
15.15625	3116298.75
15.166667	3109899.25
15.177083	3103345.75
15.1875	3096684
15.197917	3089948.5
15.208333	3083165.75
15.21875	3076355
15.229167	3069531.75
15.239583	3062706.75
15.25	3055888
15.260417	3049082
15.270833	3042292.75
15.28125	3035524
15.291667	3028777.75
15.302083	3022056
15.3125	3015360
15.322917	3008690.25
15.333333	3002047.5
15.34375	2995432.25
15.354167	2988844.75
15.364583	2982285.25
15.375	2975753.5
15.385417	2969249.5
15.395833	2962773.5
15.40625	2956325.5
15.416667	2949905
15.427083	2943512.25
15.4375	2937147
15.447917	2930809
